 ASIGNATURA;TEMA O CONCEPTO;SOLO;BLOOM;TEMA_CLASIFICADO
INGENIERÍA DE SOFTWARE;Tutoría estudio financiero;Abstracto Extendido;Evaluar;Otros
ARQUITECTURA DE SOFTWARE;Patrones;Relacional;Analizar;Otros
INGENIERÍA WEB;Deploy WEB;Relacional;Crear;Algoritmia
ANÁLISIS Y DISEÑO DE ALGORITMOS;Proyecto Algoritmos;Abstracto Extendido;Aplicar;Algoritmia
ANÁLISIS Y DISEÑO DE ALGORITMOS;Dudas taller;Preestructural;Recordar;Otros
INGENIERÍA WEB;Definición proyecto de Curso;Abstracto Extendido;Aplicar;Otros
INGENIERÍA WEB;Desglose de actividades en relación a temporalidad de acuerdo a Sprints con base en la metodología SCRUM. ;Abstracto Extendido;Aplicar;Otros
INGENIERÍA WEB;Desglose de actividades en relación a temporalidad de acuerdo a Sprints con base en la metodología SCRUM. ;Abstracto Extendido;Aplicar;Otros
INGENIERÍA WEB;Validación alcance y UML Diseño;Abstracto Extendido;Aplicar;Investigación
INGENIERÍA WEB;Revisión proyecto integrador;Multiestructural;Comprender;Proyecto Integrador
INGENIERÍA WEB;Implementación de consulta SQL con tres tablas para solucionar relaciones muchos a muchos;Multiestructural;Aplicar;Otros
ARQUITECTURA DE SOFTWARE;Aspectos arquitecturales;Abstracto Extendido;Analizar;Otros
ARQUITECTURA DE SOFTWARE;Explicación Diagramas UML ;Relacional;Aplicar;Otros
ARQUITECTURA DE SOFTWARE;HEROKU;Abstracto Extendido;Analizar;Programación Java
INGENIERÍA DE SOFTWARE;Tutoría estudio financiero;Abstracto Extendido;Evaluar;Otros
ARQUITECTURA DE SOFTWARE;HEROKU;Abstracto Extendido;Analizar;Programación Java
ARQUITECTURA DE SOFTWARE;Patrones;Relacional;Analizar;Otros
ARQUITECTURA DE SOFTWARE;Configuracion de Tomcat;Abstracto Extendido;Analizar;Programación Java
ARQUITECTURA DE SOFTWARE;Patrones;Relacional;Analizar;Otros
INGENIERÍA DE SOFTWARE;Tutoría estudio financiero;Abstracto Extendido;Evaluar;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;proyecto;Abstracto Extendido;Aplicar;Otros
ARQUITECTURA DE SOFTWARE;HEROKU;Abstracto Extendido;Analizar;Programación Java
ARQUITECTURA DE SOFTWARE;Patrones;Relacional;Analizar;Otros
INGENIERÍA DE SOFTWARE;Tutoría estudio financiero;Abstracto Extendido;Evaluar;Otros
INGENIERÍA DE SOFTWARE;Tutoría Estudio Financiero;Abstracto Extendido;Evaluar;Otros
ARQUITECTURA DE SOFTWARE;Aspectos arquitecturales;Abstracto Extendido;Analizar;Otros
ARQUITECTURA DE SOFTWARE;Arquitectura de datos;Abstracto Extendido;Analizar;Otros
ARQUITECTURA DE SOFTWARE;ETL;Abstracto Extendido;Analizar;Otros
ARQUITECTURA DE SOFTWARE;Arquitecturas de despliegue;Abstracto Extendido;Analizar;Otros
ARQUITECTURA DE SOFTWARE;Patrones;Relacional;Analizar;Otros
ARQUITECTURA DE SOFTWARE;Definición de las expectativas y alcance de los entregables de la arquitectura de software;Abstracto Extendido;Analizar;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;PROBABILIDAD;NO HAY VERBO;NO HAY VERBO;Otros
ARQUITECTURA DE SOFTWARE;Arquitectura de datos;Abstracto Extendido;Analizar;Otros
ARQUITECTURA DE SOFTWARE;ETL;Abstracto Extendido;Analizar;Otros
ARQUITECTURA DE SOFTWARE;Arquitecturas de despliegue;Abstracto Extendido;Analizar;Otros
ARQUITECTURA DE SOFTWARE;FrontEnd;Abstracto Extendido;Aplicar;Otros
ARQUITECTURA DE SOFTWARE;FRONT END;Abstracto Extendido;Analizar;Otros
ARQUITECTURA DE SOFTWARE;Pruebas de carga y estrés;Abstracto Extendido;Analizar;Otros
INGENIERÍA DE SOFTWARE;Tutoría estudio financiero;Abstracto Extendido;Evaluar;Otros
INGENIERÍA DE SOFTWARE;UML;Abstracto Extendido;Aplicar;Otros
INGENIERÍA DE SOFTWARE;diagrama de clases;Abstracto Extendido;Evaluar;Otros
ARQUITECTURA DE SOFTWARE;Aspectos arquitecturales;Abstracto Extendido;Analizar;Otros
INGENIERÍA DE SOFTWARE;diagrama de secuencia;Abstracto Extendido;Evaluar;Algoritmia
ARQUITECTURA DE SOFTWARE;Aspectos arquitecturales;Abstracto Extendido;Analizar;Otros
INGENIERÍA DE SOFTWARE;casos de uso;Abstracto Extendido;Evaluar;Otros
ARQUITECTURA DE SOFTWARE;tutoria;Abstracto Extendido;Analizar;Programación Python
CONSTRUCCIÓN DE SOFTWARE;desarrollo web;Abstracto Extendido;Aplicar;Otros
CONSTRUCCIÓN DE SOFTWARE;programación web;Abstracto Extendido;Aplicar;Otros
ARQUITECTURA DE SOFTWARE;Aspectos arquitecturales;Abstracto Extendido;Analizar;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Dudas tema clase;Preestructural;Recordar;Otros
ARQUITECTURA DE SOFTWARE;Aspectos arquitecturales;Abstracto Extendido;Analizar;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Dudas tema clase;Preestructural;Recordar;Otros
ARQUITECTURA DE SOFTWARE;Diseño y Programación ;Abstracto Extendido;Aplicar;Algoritmia
INGENIERÍA DE SOFTWARE;arquitectura empresarial;Abstracto Extendido;Evaluar;Otros
ARQUITECTURA DE SOFTWARE;Aspectos arquitecturales;Abstracto Extendido;Analizar;Otros
ARQUITECTURA DE SOFTWARE;Tutoria;Abstracto Extendido;Analizar;Programación Python
ARQUITECTURA DE SOFTWARE;Resolver dudas de modelo vista controlador;Preestructural;Recordar;Programación VBA
ARQUITECTURA DE SOFTWARE;Geroku postgres;Abstracto Extendido;Analizar;Otros
ARQUITECTURA DE SOFTWARE;JPA;Abstracto Extendido;Analizar;Programación VBA
ARQUITECTURA DE SOFTWARE;ENTITY MANAGER;Abstracto Extendido;Analizar;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Distribución Binomial campana de GAUSS - 6 Sigmas;NO HAY VERBO;NO HAY VERBO;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Distribución de poisson;NO HAY VERBO;NO HAY VERBO;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Cadenas de Markov - Ejercicio Taller ;NO HAY VERBO;NO HAY VERBO;Estadística y Matemáticas
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Cadenas de Markov - Vector de estados iniciales;NO HAY VERBO;NO HAY VERBO;Estadística y Matemáticas
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Markov - operaciones con matrices;NO HAY VERBO;NO HAY VERBO;Otros
INGENIERÍA DE SOFTWARE;requerimientos;Abstracto Extendido;Evaluar;Otros
INGENIERÍA DE SOFTWARE;Documentación;Abstracto Extendido;Evaluar;Otros
INGENIERÍA DE SOFTWARE;cronograma;Abstracto Extendido;Evaluar;Otros
INGENIERÍA DE SOFTWARE;componentes de desarrollo ;Abstracto Extendido;Aplicar;Programación Java
ALGORITMIA Y PROGRAMACIÓN;Algoritmos en aplicaciones móviles celulares;NO HAY VERBO;NO HAY VERBO;Algoritmia
ALGORITMIA Y PROGRAMACIÓN;Instalación Python;Abstracto Extendido;Aplicar;Programación Python
PROGRAMACIÓN IMPERATIVA;Proyecto integrador;Abstracto Extendido;Aplicar;Proyecto Integrador
PROGRAMACIÓN IMPERATIVA;Matrices en C;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;Funciones en c++;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;Proyecto Integrador;Abstracto Extendido;Aplicar;Proyecto Integrador
PROGRAMACIÓN IMPERATIVA;Apuntadores en C;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;Apuntadores a Matrices;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;Apuntadores en c++;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;Apuntadores en c++;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;Recursividad;Abstracto Extendido;Aplicar;Algoritmia
PROGRAMACIÓN IMPERATIVA;Apuntadores;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;Apuntadores en c++;Abstracto Extendido;Aplicar;Otros
INGENIERÍA WEB;Repositorio remoto 1;Abstracto Extendido;Aplicar;Otros
INGENIERÍA WEB;Mapa de endpoints;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;Apuntadores en c++;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;Recursividad;Abstracto Extendido;Aplicar;Algoritmia
