 ASIGNATURA;TEMA O CONCEPTO
INGENIERÍA DE SOFTWARE;Tutoría estudio financiero
ARQUITECTURA DE SOFTWARE;Patrones
INGENIERÍA WEB;Deploy WEB
ANÁLISIS Y DISEÑO DE ALGORITMOS;Proyecto Algoritmos
ANÁLISIS Y DISEÑO DE ALGORITMOS;Dudas taller
INGENIERÍA WEB;Definición proyecto de Curso
INGENIERÍA WEB;Desglose de actividades en relación a temporalidad de acuerdo a Sprints con base en la metodología SCRUM. 
INGENIERÍA WEB;Desglose de actividades en relación a temporalidad de acuerdo a Sprints con base en la metodología SCRUM. 
INGENIERÍA WEB;Validación alcance y UML Diseño
INGENIERÍA WEB;Revisión proyecto integrador
INGENIERÍA WEB;Implementación de consulta SQL con tres tablas para solucionar relaciones muchos a muchos
ARQUITECTURA DE SOFTWARE;Aspectos arquitecturales
ARQUITECTURA DE SOFTWARE;Explicación Diagramas UML 
ARQUITECTURA DE SOFTWARE;HEROKU
INGENIERÍA DE SOFTWARE;Tutoría estudio financiero
ARQUITECTURA DE SOFTWARE;HEROKU
ARQUITECTURA DE SOFTWARE;Patrones
ARQUITECTURA DE SOFTWARE;Configuracion de Tomcat
ARQUITECTURA DE SOFTWARE;Patrones
INGENIERÍA DE SOFTWARE;Tutoría estudio financiero
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;proyecto
ARQUITECTURA DE SOFTWARE;HEROKU
ARQUITECTURA DE SOFTWARE;Patrones
INGENIERÍA DE SOFTWARE;Tutoría estudio financiero
INGENIERÍA DE SOFTWARE;Tutoría Estudio Financiero
ARQUITECTURA DE SOFTWARE;Aspectos arquitecturales
ARQUITECTURA DE SOFTWARE;Arquitectura de datos
ARQUITECTURA DE SOFTWARE;ETL
ARQUITECTURA DE SOFTWARE;Arquitecturas de despliegue
ARQUITECTURA DE SOFTWARE;Patrones
ARQUITECTURA DE SOFTWARE;Definición de las expectativas y alcance de los entregables de la arquitectura de software
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;PROBABILIDAD
ARQUITECTURA DE SOFTWARE;Arquitectura de datos
ARQUITECTURA DE SOFTWARE;ETL
ARQUITECTURA DE SOFTWARE;Arquitecturas de despliegue
ARQUITECTURA DE SOFTWARE;FrontEnd
ARQUITECTURA DE SOFTWARE;FRONT END
ARQUITECTURA DE SOFTWARE;Pruebas de carga y estrés
INGENIERÍA DE SOFTWARE;Tutoría estudio financiero
INGENIERÍA DE SOFTWARE;UML
INGENIERÍA DE SOFTWARE;diagrama de clases
ARQUITECTURA DE SOFTWARE;Aspectos arquitecturales
INGENIERÍA DE SOFTWARE;diagrama de secuencia
ARQUITECTURA DE SOFTWARE;Aspectos arquitecturales
INGENIERÍA DE SOFTWARE;casos de uso
ARQUITECTURA DE SOFTWARE;tutoria
CONSTRUCCIÓN DE SOFTWARE;desarrollo web
CONSTRUCCIÓN DE SOFTWARE;programación web
ARQUITECTURA DE SOFTWARE;Aspectos arquitecturales
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Dudas tema clase
ARQUITECTURA DE SOFTWARE;Aspectos arquitecturales
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Dudas tema clase
ARQUITECTURA DE SOFTWARE;Diseño y Programación 
INGENIERÍA DE SOFTWARE;arquitectura empresarial
ARQUITECTURA DE SOFTWARE;Aspectos arquitecturales
ARQUITECTURA DE SOFTWARE;Tutoria
ARQUITECTURA DE SOFTWARE;Resolver dudas de modelo vista controlador
ARQUITECTURA DE SOFTWARE;Geroku postgres
ARQUITECTURA DE SOFTWARE;JPA
ARQUITECTURA DE SOFTWARE;ENTITY MANAGER
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Distribución Binomial campana de GAUSS - 6 Sigmas
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Distribución de poisson
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Cadenas de Markov - Ejercicio Taller 
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Cadenas de Markov - Vector de estados iniciales
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Markov - operaciones con matrices
INGENIERÍA DE SOFTWARE;requerimientos
INGENIERÍA DE SOFTWARE;Documentación
INGENIERÍA DE SOFTWARE;cronograma
INGENIERÍA DE SOFTWARE;componentes de desarrollo 
ALGORITMIA Y PROGRAMACIÓN;Algoritmos en aplicaciones móviles celulares
ALGORITMIA Y PROGRAMACIÓN;Instalación Python
PROGRAMACIÓN IMPERATIVA;Proyecto integrador
PROGRAMACIÓN IMPERATIVA;Matrices en C
PROGRAMACIÓN IMPERATIVA;Funciones en c++
PROGRAMACIÓN IMPERATIVA;Proyecto Integrador
PROGRAMACIÓN IMPERATIVA;Apuntadores en C
PROGRAMACIÓN IMPERATIVA;Apuntadores a Matrices
PROGRAMACIÓN IMPERATIVA;Apuntadores en c++
PROGRAMACIÓN IMPERATIVA;Apuntadores en c++
PROGRAMACIÓN IMPERATIVA;Recursividad
PROGRAMACIÓN IMPERATIVA;Apuntadores
PROGRAMACIÓN IMPERATIVA;Apuntadores en c++
INGENIERÍA WEB;Repositorio remoto 1
INGENIERÍA WEB;Mapa de endpoints
PROGRAMACIÓN IMPERATIVA;Apuntadores en c++
PROGRAMACIÓN IMPERATIVA;Recursividad
